epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8887,2.79767,5.86848,1.04087,0.43317,0.21101,0.20174,0.08704,2.59422,4.24176,0.89418,0.000661654,0.000661654,0.000661654
2,39.0836,2.65613,4.47433,0.93512,0.49266,0.26096,0.26742,0.10825,2.55844,3.99983,0.82267,0.00126257,0.00126257,0.00126257
3,65.6565,2.6872,4.36447,0.92744,0.43096,0.25229,0.24536,0.10867,2.49937,5.21949,0.86514,0.00179748,0.00179748,0.00179748
4,99.6957,2.64896,4.26498,0.91358,0.57654,0.31753,0.33784,0.14326,2.37293,3.72419,0.80175,0.001703,0.001703,0.001703
5,121.159,2.59287,4.14206,0.88638,0.51875,0.36035,0.36118,0.16417,2.33075,3.51802,0.79518,0.001604,0.001604,0.001604
6,141.404,2.54771,3.97654,0.88102,0.51121,0.32824,0.34852,0.15074,2.35707,3.54948,0.7884,0.001505,0.001505,0.001505
7,174.735,2.491,3.84634,0.85979,0.62152,0.38083,0.4126,0.17297,2.29246,3.11356,0.75115,0.001406,0.001406,0.001406
